@T,table
Created,2016-03-04 20:46
Author,HortonMachine library
@H,timestamp,value_136,value_162,value_131,value_133,value_132,value_135,value_134,value_152,value_153,value_154,value_156,value_159,value_144,value_146,value_124,value_182,value_148,value_149,value_150,value_121
ID,,136,162,131,133,132,135,134,152,153,154,156,159,144,146,124,182,148,149,150,121
Type,Date,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Format,yyyy-MM-dd HH:mm,,,,,,,,,,,,,,,,,,,,
,2002-01-01 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2002-01-01 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2002-01-01 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2002-01-01 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2002-01-01 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2002-01-01 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2002-01-01 06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2002-01-01 07:00,20.42301707926211,21.146864542205446,20.50984383669385,20.433693071733824,-9999,20.470023831950073,20.385788082594985,-9999,20.861950601503427,20.911160906439246,20.945067169587162,21.230053397339503,20.736784593842984,20.71669703272998,20.2306005653834,20.918415392219483,20.703161986026483,20.663753264976123,20.684095190675297,-9999
,2002-01-01 08:00,87.86340027501745,88.01415163521958,87.55120858910662,87.50009865021241,-9999,87.99495944695725,87.59213848681208,-9999,87.70632627286177,87.96210025581888,87.84496099031955,87.90383262081248,87.92950797821274,88.22642228532442,87.60779626559015,88.17868428636952,87.72496319293536,87.68317526052023,87.76352307500838,-9999
,2002-01-01 09:00,116.89161304237918,116.84903255590397,116.4433823580124,116.4682245622228,-9999,116.94489734572733,116.63604592316325,-9999,116.51047970252488,116.734514007065,116.82279720631078,116.8769520081842,117.02850731206182,117.10301109580868,116.78530943928959,116.94308124963408,116.72354770594188,116.62341549456086,116.68849422656568,-9999
,2002-01-01 10:00,132.9071819124684,132.73883925986118,132.32642342144902,132.39825531426408,-9999,133.0608988638656,132.60629245077578,-9999,132.42453665072688,132.74730086844414,132.62955347549192,132.68488465904528,132.83042231032775,132.96970554117544,132.72559917333726,132.5871407335858,132.67394830347445,132.58143143221147,132.67502555264906,-9999

